Module	FS06_2016_S5_interleaved_Abundance-RPKs	FS25_2017_S56_interleaved_Abundance-RPKs	FS09_2016_S8_interleaved_Abundance-RPKs	FS34_2017_S27_interleaved_Abundance-RPKs	FS44_2017_S37_interleaved_Abundance-RPKs	FS54_2017_S47_interleaved_Abundance-RPKs	FS12_2016_S11_interleaved_Abundance-RPKs	FS62_2017_S55_interleaved_Abundance-RPKs	FS23_2017_S17_interleaved_Abundance-RPKs	FS39_2017_S32_interleaved_Abundance-RPKs	FS45_2017_S38_interleaved_Abundance-RPKs	FS07_2016_S6_interleaved_Abundance-RPKs	FS30_2017_S23_interleaved_Abundance-RPKs	FS13_2016_S12_interleaved_Abundance-RPKs	FS52_2017_S44_interleaved_Abundance-RPKs	FS50_2017_S43_interleaved_Abundance-RPKs	FS10_2016_S9_interleaved_Abundance-RPKs	FS17_2017_S14_interleaved_Abundance-RPKs	FS19_2017_S15_interleaved_Abundance-RPKs	FS33_2017_S26_interleaved_Abundance-RPKs	FS27_2017_S20_interleaved_Abundance-RPKs	FS53_2017_S46_interleaved_Abundance-RPKs	FS59_2017_S52_interleaved_Abundance-RPKs	FS51_2017_S45_interleaved_Abundance-RPKs	FS36_2017_S29_interleaved_Abundance-RPKs	FS46_2017_S39_interleaved_Abundance-RPKs	FS31_2017_S24_interleaved_Abundance-RPKs	FS41_2017_S34_interleaved_Abundance-RPKs	FS0A_2017_S57_interleaved_Abundance-RPKs	FS56_2017_S49_interleaved_Abundance-RPKs	FS22_2017_S16_interleaved_Abundance-RPKs	FS61_2017_S54_interleaved_Abundance-RPKs	FS47_2017_S40_interleaved_Abundance-RPKs	FS57_2017_S50_interleaved_Abundance-RPKs	FS05_2016_S4_interleaved_Abundance-RPKs	FS48_2017_S41_interleaved_Abundance-RPKs	FS58_2017_S51_interleaved_Abundance-RPKs	FS28_2017_S21_interleaved_Abundance-RPKs	FS01_2016_S1_interleaved_Abundance-RPKs	FS08_2016_S7_interleaved_Abundance-RPKs	FS32_2017_S25_interleaved_Abundance-RPKs	FS38_2017_S31_interleaved_Abundance-RPKs	FS42_2017_S35_interleaved_Abundance-RPKs	FS29_2017_S22_interleaved_Abundance-RPKs	FS35_2017_S28_interleaved_Abundance-RPKs	FS55_2017_S48_interleaved_Abundance-RPKs	FS02_2016_S2_interleaved_Abundance-RPKs	FS16_2017_S13_interleaved_Abundance-RPKs	FS40_2017_S33_interleaved_Abundance-RPKs	FS60_2017_S53_interleaved_Abundance-RPKs	FS37_2017_S30_interleaved_Abundance-RPKs	FS43_2017_S36_interleaved_Abundance-RPKs	FS0B_2017_S58_interleaved_Abundance-RPKs	FS24_2017_S18_interleaved_Abundance-RPKs	FS26_2017_S19_interleaved_Abundance-RPKs	FS49_2017_S42_interleaved_Abundance-RPKs	FS11_2016_S10_interleaved_Abundance-RPKs
MGB045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.73451	122.887365	0.0	0.0	0.0	0.0	0.0	0.0	36.61475	4.12206	0.0	45.70086500000001	0.0	0.0	0.0	53.51973	0.0	0.0	0.0	0.0	9.469995	0.0	59.21925	0.0	0.0	0.0	0.0	0.0	0.0	112.31224999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB024	0.0	0.0	0.0	0.0	4.753695	0.0	0.0	0.0	0.0	0.0	22.13133	0.0	0.0	0.0	0.0	0.0	10.165735	28.72743	66.4338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.74684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.22412	3.29831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.683425	0.0	0.0	0.0	0.0
MGB047	0.0	0.0	24.8452	29.3117	2.81762	20.8807	5.13317	0.598048	0.0	0.0	20.7125	0.0	9.43451	26.2065	22.6756	9.90359	232.016	18.7173	147.714	87.8669	2.08683	10.7733	4.70966	203.917	0.0	0.0	184.768	10.109	79.7993	42.3012	0.0	12.4277	0.0	37.5116	0.0	0.0	101.357	24.8061	13.34	0.0	112.809	0.0	0.0	0.0	0.0	33.4219	0.0	74.2808	15.7947	0.0	0.0	30.3712	94.0178	25.1134	3.71826	2.41884	88.7464
MGB025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.5575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB040	0.0	0.0	25.745350000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.179199999999994	0.0	42.1404	45.15115	33.4714	15.98605	51.4644	0.0	0.0	0.0	37.5863	105.25	0.0	0.0	0.0	0.0	94.52345	0.0	0.0	11.38575	0.0	13.07525	0.0	0.0	237.378	57.1276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.7684	0.0	0.0	0.0	44.6676
MGB020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.7892	55.67935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.13695	0.0	0.0	5.23752	0.0	0.0	0.0	0.0	0.0	21.052500000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.47125	0.0	0.0	0.0	0.0
MGB043	0.0	732.549	36.3077	0.0	0.0	34.1895	0.0	0.0	70.1648	0.0	0.0	0.0	80.2389	170.144	113.497	120.776	341.842	41.3506	143.212	133.435	15.4653	104.257	106.765	304.775	403.587	0.0	15.3462	40.6721	88.5923	22.8187	54.2515	30.8708	92.0978	105.181	209.947	0.0	140.69	58.9915	11.3569	88.4387	100.185	348.412	703.195	85.714	0.0	0.0	91.2318	144.265	0.0	0.0	11.426	669.208	40.2594	220.214	0.0	37.0575	109.192
MGB021	0.0	0.0	23.011	0.0	0.0	11.118799999999998	0.0	0.0	0.0	0.0	0.0	0.0	21.830264999999997	58.496205	31.64365	11.19135	248.182	0.0	0.0	72.1323	0.0	26.829345	0.0	204.132	0.0	0.0	0.0	0.0	42.46895	0.0	0.0	0.0	0.0	34.31785	0.0	0.0	0.0	0.0	0.0	0.0	20.53421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.48135	10.129455	0.0	0.0	0.0
MGB008	0.0	0.0	2.92352	0.0	8.00498	0.0	0.0	0.0	0.0	0.0	28.3261	0.0	0.0	6.58078	0.0	0.0	0.0	0.0	15.9848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.7183	0.0	0.0	6.94996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54041	1.29335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
