Module	FS06_2016_S5_interleaved_Abundance-RPKs	FS25_2017_S56_interleaved_Abundance-RPKs	FS09_2016_S8_interleaved_Abundance-RPKs	FS34_2017_S27_interleaved_Abundance-RPKs	FS44_2017_S37_interleaved_Abundance-RPKs	FS54_2017_S47_interleaved_Abundance-RPKs	FS12_2016_S11_interleaved_Abundance-RPKs	FS62_2017_S55_interleaved_Abundance-RPKs	FS23_2017_S17_interleaved_Abundance-RPKs	FS39_2017_S32_interleaved_Abundance-RPKs	FS45_2017_S38_interleaved_Abundance-RPKs	FS07_2016_S6_interleaved_Abundance-RPKs	FS30_2017_S23_interleaved_Abundance-RPKs	FS13_2016_S12_interleaved_Abundance-RPKs	FS52_2017_S44_interleaved_Abundance-RPKs	FS50_2017_S43_interleaved_Abundance-RPKs	FS10_2016_S9_interleaved_Abundance-RPKs	FS17_2017_S14_interleaved_Abundance-RPKs	FS19_2017_S15_interleaved_Abundance-RPKs	FS33_2017_S26_interleaved_Abundance-RPKs	FS27_2017_S20_interleaved_Abundance-RPKs	FS53_2017_S46_interleaved_Abundance-RPKs	FS59_2017_S52_interleaved_Abundance-RPKs	FS51_2017_S45_interleaved_Abundance-RPKs	FS36_2017_S29_interleaved_Abundance-RPKs	FS46_2017_S39_interleaved_Abundance-RPKs	FS31_2017_S24_interleaved_Abundance-RPKs	FS41_2017_S34_interleaved_Abundance-RPKs	FS0A_2017_S57_interleaved_Abundance-RPKs	FS56_2017_S49_interleaved_Abundance-RPKs	FS22_2017_S16_interleaved_Abundance-RPKs	FS61_2017_S54_interleaved_Abundance-RPKs	FS47_2017_S40_interleaved_Abundance-RPKs	FS57_2017_S50_interleaved_Abundance-RPKs	FS05_2016_S4_interleaved_Abundance-RPKs	FS48_2017_S41_interleaved_Abundance-RPKs	FS58_2017_S51_interleaved_Abundance-RPKs	FS28_2017_S21_interleaved_Abundance-RPKs	FS01_2016_S1_interleaved_Abundance-RPKs	FS08_2016_S7_interleaved_Abundance-RPKs	FS32_2017_S25_interleaved_Abundance-RPKs	FS38_2017_S31_interleaved_Abundance-RPKs	FS42_2017_S35_interleaved_Abundance-RPKs	FS29_2017_S22_interleaved_Abundance-RPKs	FS35_2017_S28_interleaved_Abundance-RPKs	FS55_2017_S48_interleaved_Abundance-RPKs	FS02_2016_S2_interleaved_Abundance-RPKs	FS16_2017_S13_interleaved_Abundance-RPKs	FS40_2017_S33_interleaved_Abundance-RPKs	FS60_2017_S53_interleaved_Abundance-RPKs	FS37_2017_S30_interleaved_Abundance-RPKs	FS43_2017_S36_interleaved_Abundance-RPKs	FS0B_2017_S58_interleaved_Abundance-RPKs	FS24_2017_S18_interleaved_Abundance-RPKs	FS26_2017_S19_interleaved_Abundance-RPKs	FS49_2017_S42_interleaved_Abundance-RPKs	FS11_2016_S10_interleaved_Abundance-RPKs
MF0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7977	11.3177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5517	0.0	2.08263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.5116
MF0068	0.0	777.567	163.511	201.786	46.4688	764.38	462.51	10.5815	360.101	288.885	46.786	415.124	390.7	283.62	407.254	346.476	351.762	120.899	213.787	147.403	667.429	241.999	254.699	368.132	713.022	68.9944	218.826	218.775	563.439	120.644	177.261	47.0455	209.475	245.966	479.873	106.671	368.773	490.749	183.08	387.884	184.403	717.309	717.075	270.061	681.842	39.6812	530.621	264.753	44.5822	897.209	834.83	610.1	854.43	337.26	102.806	101.05	137.073
MF0101	0.0	0.0	22.3789	0.0	0.0	7.51504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1881	0.0	2.23082	0.0	0.0	0.0	0.0	116.892	0.0	0.0	0.0	0.0	138.134	0.0	0.0	0.0	0.0	16.0314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.431	0.0	0.0	0.0	0.0
MF0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.24	60.2947	0.0	0.0	0.0	27.5996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.42551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF0021	0.0	521.529	67.67825	104.22245	20.977395	19.439500000000002	0.0	7.6149249999999995	189.1455	27.6633	0.0	117.3202	82.07185	16.855305	130.6999	90.52734999999998	0.0	51.248599999999996	61.9786	51.83285	116.59525000000001	61.938	73.5188	202.6775	186.35795	0.0	6.905355	14.68026	41.71084999999999	17.770325	70.0381	12.518329999999999	15.593055000000001	54.6088	85.39995	5.343885	225.13299999999998	159.4565	0.0	4.7826450000000005	13.307935	157.252655	360.1635	75.58885000000001	7.496169999999999	111.07585	112.5652	287.1955	15.903915	2.301285	28.379849999999998	278.641	37.592115	136.07815	0.0	2.90584	59.73774999999999
MF0065	0.0	0.0	45.2468	0.0	0.0	0.0	0.0	0.0	106.35049999999998	37.6523	0.0	154.2019	135.217	0.0	51.2963	41.8253	0.0	64.0536	95.70599999999999	114.55095	0.0	29.6812	74.4288	92.46255	0.0	13.680299999999999	80.0577	36.722229999999996	0.0	60.305049999999994	115.95	0.0	19.297775	62.3261	194.476	8.15499	99.93435	141.4755	95.85405	18.7656	149.18	0.0	0.0	0.0	0.0	30.84545	0.0	408.387	0.0	0.0	0.0	288.78090000000003	0.0	259.6665	0.0	21.2352	115.92314999999999
MF0022	0.0	0.0	35.0209	0.0	0.0	9.88737	0.0	0.0	0.0	0.0	0.0	0.0	38.575	0.0	80.5884	55.6611	0.0	5.74589	95.2111	86.9977	0.0	55.8152	0.0	181.842	0.0	0.0	0.0	0.0	72.1842	0.0	0.0	0.0	0.0	33.6605	0.0	0.0	51.7272	30.1671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.2571	18.2684	0.0	0.0	55.5191
MF0066	0.0	0.0	61.509299999999996	0.0	38.629099999999994	19.25525	0.0	0.0	0.0	0.0	48.01445	0.0	30.73155	227.9925	62.96169999999999	33.81285	297.8355	50.97125	0.0	38.1819	0.0	65.9551	0.0	232.65550000000002	0.0	0.0	48.09266	281.7835	77.86135	122.3698	0.0	14.99662	0.0	69.8043	0.0	0.0	118.97030000000001	81.70845	70.8939	0.0	61.3541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.9616	0.0	0.0	0.0	40.6894	114.3207	0.0	13.000350000000001	0.0
MF0018	0.0	6.29173	37.4584	17.3343	20.083	799.346	0.0	2.93353	79.0621	63.0836	17.5666	162.348	152.644	131.64	127.269	93.3749	17.8261	18.8183	26.2793	56.8704	19.2773	121.805	111.844	75.3123	10.417	39.2589	71.1633	253.037	89.1468	82.4877	131.866	19.2121	84.2799	153.777	348.265	47.2427	175.935	195.728	27.2859	419.051	43.9161	1.5553	0.0	185.868	0.0	49.4089	215.097	183.715	78.3539	0.0	6.83058	0.0	35.7852	138.216	0.0	47.9086	44.0366
MF0019	0.0	0.0	44.0241	0.0	0.0	15.8221	0.0	0.0	21.5046	0.0	0.0	0.0	48.102	30.9682	40.7963	23.1826	299.303	0.0	84.1561	92.9334	0.0	18.5813	30.9938	255.024	0.0	0.0	0.0	0.0	75.7443	0.0	196.825	24.054	8.32866	54.679	300.576	0.0	54.5672	74.4769	0.0	578.113	16.2396	0.0	0.0	0.0	0.0	0.0	4.23942	0.0	0.0	0.0	0.0	0.0	48.7818	14.8859	0.0	0.0	0.0
