Taxon	Module	PFG_k_B_4_CoM_S11_interleaved_Abundance-RPKs	PFG_k_L_p4_CoM_S16_interleaved_Abundance-RPKs	PFG_k_L_24_CoM_S14_interleaved_Abundance-RPKs	PFG_k_B_24_CoM_S13_interleaved_Abundance-RPKs	PFG_k_L_p4_SM_S30_interleaved_Abundance-RPKs	PFG_k_B_24_SM_S27_interleaved_Abundance-RPKs	PFG_k_L_24_SM_S28_interleaved_Abundance-RPKs	PFG_k_L_4_SM_S26_interleaved_Abundance-RPKs	PFG_k_L_4_CoM_S12_interleaved_Abundance-RPKs	PFG_k_B_p4_CoM_S15_interleaved_Abundance-RPKs	PFG_k_B_4_SM_S25_interleaved_Abundance-RPKs	PFG_k_B_p4_SM_S29_interleaved_Abundance-RPKs
g__Leuconostoc.s__Leuconostoc_citreum	MF0044	0.0	21.705	93.107	0.0	0.0	0.0	0.0	0.0	8.9552	0.0	0.0	0.0
g__Leuconostoc.s__Leuconostoc_citreum	MF0018	0.0	32.9325	119.17	0.0	0.0	0.0	0.0	0.0	7.64339	0.0	0.0	0.0
g__Leuconostoc.s__Leuconostoc_citreum	MF0029	0.0	35.0625	95.2945	0.0	0.0	0.0	0.0	0.0	11.5424	0.0	0.0	0.0
g__Leuconostoc.s__Leuconostoc_citreum	MF0008	0.0	22.2973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Leuconostoc.s__Leuconostoc_mesenteroides	MF0006	0.0	0.0	0.0	2.82587	494.019	254.683	487.321	220.163	0.0	88.8857	19.8213	498.279
g__Leuconostoc.s__Leuconostoc_mesenteroides	MF0047	0.0	0.0	0.0	0.0	43.94425	0.0	46.42165	35.4818	0.0	0.0	0.0	4.00432
g__Leuconostoc.s__Leuconostoc_mesenteroides	MF0001	0.0	0.0	0.0	0.0	184.288	111.808	198.631	85.4091	0.0	55.0702	11.7785	228.138
g__Lactobacillus.s__Lactobacillus_gallinarum	MF0086	119.444	0.0	0.0	21.19405	0.0	0.0	0.0	7.30425	0.0	0.0	12.5745	0.0
g__Lactobacillus.s__Lactobacillus_gallinarum	MF0051	100.226	0.0	0.0	13.97405	0.0	0.0	0.55666	5.29745	0.0	0.0	12.00215	0.0
g__Lactobacillus.s__Lactobacillus_gallinarum	MF0092	135.693	0.0	0.0	15.9934	0.0	0.0	0.0	5.32493	0.0	0.0	17.4988	0.0
g__Lactobacillus.s__Lactobacillus_gallinarum	MF0048	366.657	0.0	0.0	42.8336	0.0	6.60784	59.3492	187.358	0.0	5.78471	22.3782	0.0
g__Lactobacillus.s__Lactobacillus_gallinarum	MF0002	1.43274	0.0	0.0	0.0	0.0	0.0	1.52646	5.7751	0.0	0.0	0.0	0.0
g__Leuconostoc.s__Leuconostoc_pseudomesenteroides	MF0050	0.0	20.75945	0.298655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Leuconostoc.s__Leuconostoc_pseudomesenteroides	MF0009	0.0	26.8441	96.0154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lactococcus.s__Lactococcus_lactis	MF0074	50.1792	243.488	157.125	424.151	306.301	421.519	267.299	123.196	20.3211	488.091	367.844	344.587
g__Lactococcus.s__Lactococcus_lactis	MF0020	45.6094	190.01549999999997	116.16725	337.03	208.5925	313.64	172.2175	84.65955	19.526699999999998	350.711	276.65999999999997	251.738
g__Lactococcus.s__Lactococcus_lactis	MF0031	269.979	224.361	126.473	822.634	195.831	240.601	169.097	105.052	11.0002	501.802	186.782	140.138
g__Lactococcus.s__Lactococcus_lactis	MF0086	43.3122	135.379	106.022	336.4185	242.5315	319.425	230.45	119.4395	15.0847	297.448	364.9475	269.07
g__Lactococcus.s__Lactococcus_lactis	MF0050	11.08365	0.0	0.0	122.055	153.3105	202.937	125.1465	70.7205	0.0	12.9423	247.078	169.4665
g__Lactococcus.s__Lactococcus_lactis	MF0061	30.5548	131.093	86.3798	207.249	0.0	0.0	117.46	47.3345	9.64354	229.565	114.853	0.0
g__Lactococcus.s__Lactococcus_lactis	MF0070	52.1375	0.0	0.0	327.45	317.613	405.117	287.399	170.397	0.0	118.224	566.535	372.963
g__Lactococcus.s__Lactococcus_lactis	MF0092	89.7033	483.477	307.578	887.645	608.371	756.479	536.342	255.595	37.5207	943.687	712.479	717.188
g__Lactococcus.s__Lactococcus_lactis	MF0090	28.5467	0.0	0.0	244.11	306.621	405.874	250.293	141.441	0.0	35.7163	494.156	338.933
g__Lactococcus.s__Lactococcus_lactis	MF0049	48.03235	240.7175	144.99200000000002	400.9715	270.5575	371.4755	244.39	101.1514	17.22985	459.8855	301.927	306.3315
g__Lactococcus.s__Lactococcus_lactis	MF0006	0.0	72.0284	46.3378	44.9603	0.0	0.0	0.0	0.0	9.05932	129.716	0.0	0.0
g__Lactococcus.s__Lactococcus_lactis	MF0015	20.9443	0.0	0.0	217.119	241.816	277.895	222.885	70.9302	0.0	17.0937	290.414	272.322
g__Lactococcus.s__Lactococcus_lactis	MF0001	53.244	148.619	109.538	362.842	531.841	603.185	437.041	141.574	11.0594	299.653	497.186	570.99
g__Lactococcus.s__Lactococcus_lactis	MF0012	73.7982	218.984	149.2	403.667	307.059	353.815	249.882	132.388	24.9107	439.251	424.226	317.559
g__Lactococcus.s__Lactococcus_lactis	MF0068	85.2673	273.327	188.205	506.25	337.108	484.194	311.577	167.781	28.8316	532.063	524.26	437.989
g__Lactococcus.s__Lactococcus_lactis	MF0021	55.824749999999995	195.867	115.8945	236.7495	241.1395	339.3265	196.845	91.5112	9.701084999999999	346.97299999999996	265.768	243.03250000000003
g__Lactococcus.s__Lactococcus_lactis	MF0044	21.539	62.5258	45.6879	96.8214	58.7124	82.3583	43.2531	25.1605	0.0	114.67	80.8686	71.9201
g__Lactococcus.s__Lactococcus_lactis	MF0055	40.8622	170.568	105.327	300.319	244.199	253.768	201.686	103.483	0.0	296.925	324.116	239.888
